tsne-2d-one,tsne-2d-two,CustomerStatus
-4.6944666,27.261353,0
9.123826,4.025832,0
5.4283853,23.303928,1
18.339201,8.843487,0
-0.36522096,-21.100111,0
-4.323222,14.745539,0
-10.447597,20.878574,0
-11.974291,-29.572569,0
-5.5778947,-28.866055,0
3.8353024,5.8667135,2
-33.658417,-3.6849024,0
18.730927,4.0294156,0
8.374292,9.565437,0
-24.900244,1.5966067,0
-35.245407,-2.7478848,1
20.392591,21.33384,0
6.8019624,8.784293,0
-2.0863953,6.8264008,0
-20.811752,-7.324088,0
-26.644466,-20.315842,0
4.4748974,3.3306081,0
23.550768,-6.2839384,0
26.491753,11.482152,0
4.854668,-5.6119194,0
-0.81709677,29.086897,0
-4.5539002,-5.7890654,0
18.811218,-3.2194934,0
7.77067,2.5321229,0
3.1278665,27.59032,0
1.9264506,28.009167,0
-34.21912,-4.864362,0
-10.70276,-19.27283,0
2.569133,-25.058657,0
23.742722,19.064728,0
39.62597,-4.7375793,0
-26.59301,-2.0336516,1
10.217224,14.663401,0
24.258747,9.471476,0
-18.18491,-19.693602,0
-5.8629794,16.956388,0
-16.950691,-16.474764,0
-18.466017,13.972822,0
-3.2881386,-29.197958,0
7.142874,30.81016,0
14.623947,-1.0022424,0
-18.286093,-22.639355,0
0.049559496,8.322365,0
17.432482,1.9188164,0
5.957895,30.856777,0
-31.401009,2.5551372,0
14.955344,-9.329022,0
-7.6843104,-26.623419,3
-7.0634336,-22.429949,0
-4.7785873,16.240128,0
-27.339935,-3.0066264,0
6.8105254,-0.66355014,0
12.614471,27.907135,0
-19.930576,-19.98114,0
11.843993,9.873381,0
4.2711368,7.8124857,0
19.74307,-1.6521156,0
-20.641193,-9.105272,0
-0.7914236,-23.871492,0
1.36199,-28.67896,0
-20.782381,-1.7204287,0
13.049085,14.450764,0
13.054087,14.044115,0
-15.761065,13.5115385,0
15.1291275,21.466759,0
16.299667,26.234257,1
-28.162996,-13.934174,0
-10.778758,-27.986153,0
1.6184987,-20.25744,0
5.093173,6.04547,0
-26.474985,-6.019603,0
-30.187178,1.0159444,0
23.479641,3.6924078,3
1.5338736,-1.6901819,0
12.087343,11.132072,0
-4.1898403,-8.991629,0
-11.295973,3.4826937,0
4.4834023,-23.563114,0
22.274609,-3.1434326,0
16.406637,-11.054957,0
12.818531,25.40426,0
-8.548233,-24.883495,0
-6.251414,29.831322,1
-12.854467,-15.17257,0
13.598097,-3.3458815,0
25.032373,-6.9499154,0
-25.493788,-6.638307,0
-8.327122,21.201454,1
-8.806195,14.575595,0
-3.8287258,18.640553,0
21.592987,-5.5109224,0
-7.933197,-30.83684,0
-21.549248,4.6706643,0
19.990915,11.885746,0
-17.882027,-25.221857,3
-35.528046,0.9007319,0
-0.62647015,25.66068,0
-7.980667,17.31711,0
3.3441045,-10.569639,0
-25.918371,-8.926437,0
16.589375,-5.596,0
11.870043,-9.367434,0
6.836191,8.051651,0
-10.9225235,-7.160147,1
-2.355768,-20.578579,0
27.236311,6.688856,0
-26.083872,2.0661614,0
30.751925,-10.080824,0
-27.314095,-19.740242,0
40.63676,2.9561856,0
3.116154,32.87088,0
-23.500425,15.246955,0
-4.3622856,-10.089679,0
30.615341,-10.28099,0
-9.198567,15.944436,0
40.934807,2.219322,0
32.49958,-0.97203296,0
-26.088568,-17.175594,0
15.232796,17.357574,0
25.711159,19.341831,0
11.573905,-9.243484,0
-14.409174,8.88411,0
-20.987688,2.7745826,0
-22.257904,5.1018834,0
16.062315,6.3873434,0
-21.336033,-9.95058,0
5.11079,29.39944,0
-17.437933,12.8420925,0
1.5025766,26.106886,0
-13.732611,0.7386266,0
-10.592949,-30.147299,0
-32.788494,-3.8716288,0
3.6453872,-23.409494,0
0.80717003,-1.6991311,0
5.502908,-24.834034,0
9.035345,-4.8300905,0
-28.049053,2.4290435,0
-35.454056,-4.77496,0
33.409424,-6.0950136,0
-28.63261,4.417364,0
-8.693874,-3.9284537,0
7.4308133,3.2225008,0
17.689941,21.717361,0
32.04006,-4.4675455,1
37.222244,0.33547696,0
33.68519,-3.534781,0
25.121395,6.0466523,0
14.648855,17.717026,0
-4.124819,19.650768,0
-26.902514,-13.36439,0
-23.260952,-6.90535,1
33.93238,-9.904962,0
-2.1767223,-24.374805,0
6.4096518,24.228401,0
-0.5282509,-24.417776,0
3.2872806,18.60372,0
-8.0587015,-22.61158,0
-21.887562,0.07725726,0
-23.292738,19.888191,0
-3.1184497,6.8739696,0
6.068331,24.015768,0
-5.981312,19.398064,0
27.457764,-4.9001646,0
24.648005,-12.472425,0
-27.355251,9.357264,0
14.370538,23.780277,1
26.534569,14.82642,0
11.736629,1.8711901,0
-7.4406466,26.94605,0
-5.787328,-21.63933,0
19.746601,14.012255,0
26.39722,11.479895,0
29.961754,-7.4020433,0
9.136727,12.401867,0
-4.579522,-2.2402098,0
5.4728904,13.65149,0
-35.138615,1.654392,0
-6.212734,18.775156,0
5.9961123,20.058397,0
15.709896,2.9606905,0
-8.4993,3.3693125,0
-14.473911,-23.818125,0
21.972301,18.107,0
3.2274923,31.417088,0
-24.921684,-17.172113,0
1.7281997,-22.404243,0
1.140075,8.899613,0
1.9152505,-25.4855,0
-22.01782,-23.263477,1
-12.376956,-16.899536,0
-7.126586,-21.773901,0
-20.470442,-0.9854379,0
-28.887812,8.206292,0
19.374275,16.422318,0
23.364594,15.320689,0
5.9976897,-1.4216802,0
-32.709618,2.156333,0
-27.132187,-15.139095,0
25.239717,11.620024,0
-20.0545,-13.049628,0
36.834965,-10.15889,0
-23.393187,-1.5258216,0
-19.06653,12.687662,0
4.205369,-26.680452,0
-31.527843,-14.529877,0
-7.3934574,-3.443242,0
-24.298477,-7.529129,0
-3.2904637,-21.959728,0
-28.357199,-5.478174,0
3.9424677,7.53984,0
-9.396805,-25.248348,0
12.715591,-2.5949268,0
0.36250582,-26.875273,0
0.52779585,-21.078411,0
-22.814823,-23.52002,0
-5.764138,-22.706095,0
-19.229841,-19.164303,0
5.1993155,-2.4318824,0
-18.482492,12.945675,0
-8.158224,4.594052,0
15.570134,13.640598,0
31.888824,-2.3089802,0
-0.77486557,-20.481401,0
-30.753338,-15.335588,0
4.6642494,13.3936,0
-9.831107,-24.462383,0
13.124448,24.573315,0
-14.922393,-23.414038,1
-13.749712,18.13408,0
8.881634,22.630672,0
-0.025626794,26.95701,0
10.320145,25.264801,0
0.5800955,-21.894522,0
6.230687,13.127477,0
24.641756,-3.9472034,0
-20.84231,-19.710857,0
9.687842,-9.5311,0
-20.841824,-25.620943,3
-8.378305,-31.066124,0
-4.045744,29.208967,0
16.470116,10.518824,0
37.189934,-3.452295,0
9.062434,4.1119657,0
12.677785,27.202684,0
29.968798,-10.323587,0
-9.05684,3.8401377,0
-13.671775,1.6571152,0
-2.19725,18.208233,0
-20.19651,-9.71404,0
7.853257,30.427702,0
-16.12465,-21.697878,0
11.06282,18.519737,0
13.721714,13.676145,0
-4.896021,18.281612,0
-2.573952,25.023945,0
8.144719,26.592634,0
-29.301912,-3.4964006,0
-3.8796296,-28.119843,0
31.743671,-2.041068,0
15.290855,27.059885,0
0.5010821,0.7315622,0
-6.646203,17.720736,0
18.98171,21.347557,0
41.40973,1.5505624,0
-1.5396,5.1483746,0
-33.046314,-10.923396,0
-26.600143,-9.54259,0
22.723461,-4.0919566,0
-33.825016,-7.2000694,0
-32.39704,-11.912335,0
16.043472,10.60678,0
-1.0308609,27.59985,0
14.995786,-1.8932925,0
-8.634187,19.71161,0
-32.555023,6.0776477,0
-0.60493684,-5.904914,0
2.0401022,-4.7654276,0
-30.99381,-3.6353643,0
-2.1841774,-21.302841,0
0.6911187,29.24073,0
-22.180323,-21.115782,0
-8.083162,20.775421,0
-13.128124,9.206552,0
22.758167,6.2514467,0
1.8863713,-8.308302,0
-19.481443,11.614348,0
-1.5657707,-25.009432,0
-29.073317,-16.066923,0
13.656472,24.612968,0
6.007012,10.894679,0
-18.69486,-14.227212,0
-27.73481,7.784556,0
32.59024,-9.828373,0
16.375042,12.784875,0
-22.882017,4.572639,0
24.04794,-12.317825,0
-25.643583,-13.034647,0
3.7069933,-28.030523,0
0.87844765,0.7024353,0
